"id","value_en","value_bn","district_id"
"109","Batiaghata Upazila","বাটিয়াঘাটা উপজেলা","7"
"110","Dakop Upazila","ডাকোপ উপজেলা","7"
"111","Koira Upazila","কয়রা উপজেলা","7"
"112","Kushtia Sadar Upazila","কুষ্টিয়া সদর উপজেলা","6"
"113","Kumarkhali Upazila","কুমারখালী উপজেলা","6"
"114","Daulatpur Upazila","দৌলতপুর উপজেলা","6"
"115","Bheramara Upazila","ভেড়ামারা উপজেলা","6"
"116","Khoksha Upazila","খোকশা উপজেলা","6"
"117","Mirpur Upazila","মিরপুর উপজেলা","6"
"118","Barisal Sadar Upazila","বরিশাল সদর উপজেলা","8"
"119","Muladi Upazila","মুলাদী উপজেলা","8"
"120","Gournadi Upazila","গৌরনদী উপজেলা","8"
"121","Agailjhara Upazila","আগৈলঝারা উপজেলা","8"
"122","Hijla Upazila","হিজলা উপজেলা","8"
"123","Ujirpur Upazila","উজিরপুর উপজেলা","8"
"124","Mehedigonj Upazila","মেহেদিগঞ্জ উপজেলা","8"
"125","Babugonj Upazila","বাবুগঞ্জ উপজেলা","8"
"126","Bakergonj Upazila","বেকেরগঞ্জ উপজেলা","8"
"127","Banaripara Upazila","বানারিপাড়া উপজেলা","8"
"128","Sylhet Sadar Upazila","সিলেট সদর উপজেলা","9"
"129","Gopalgonj Upazila","গোপালগঞ্জ উপজেলা","9"
"130","Biwanibazar Upazila","বিশ্বনাথ উপজেলা","9"
"131","Jokigonj Upazila","বালাগঞ্জ উপজেলা","9"
"132","Companigonj Upazila","গোয়াইনঘাট উপজেলা","9"
"133","Jaintapur Upazila","কানাইঘাট উপজেলা","9"
"134","Daxin Surma Upazila","মেহেদিগঞ্জ সদর উপজেলা","9"
"135","Fenchugonj Upazila","রাজনগর উপজেলা","9"
"136","Bishwanath Upazila","কুলাউরা উপজেলা","9"
"137","Balagonj Upazila","জুড়ি উপজেলা","9"
"138","Gowainghat Upazila","বড়লেখা উপজেলা","9"
"139","Kanaighat Upazila","কোমলগঞ্জ উপজেলা","9"
"601","Rangpur Sadar Upazila","রংপুর সদর উপজেলা","10"
"602","Badarganj Upazila","বদরগঞ্জ উপজেলা","10"
"603","Mithapukur Upazila","মিঠাপুকুর উপজেলা","10"
"604","Kotwali Thana","কোতোয়ালি থানা","10"
"605","Gangachara Thana","গঙ্গাচড়া থানা","10"
"606","Pirganj Thana","পীরগঞ্জ থানা","10"
"607","Mymensingh Sadar Upazila","ময়মনসিংহ সদর উপজেলা","11"
"608","Bhaluka Upazila","ভালুকা উপজেলা","11"
"609","Trishal Upazila","ত্রিশাল উপজেলা","11"
"610","Gafargaon Upazila","গফরগাঁও উপজেলা","11"
"611","Nandail Upazila","নান্দাইল উপজেলা","11"
"612","Isshorgonj Upazila","ঈশ্বরগঞ্জ উপজেলা","11"
"613","Mymensingh Thana","ময়মনসিংহ থানা","11"
"614","Bogra Sadar","বগুড়া সদর","12"
"615","Sherpur Upazila","শেরপুর উপজেলা","12"
"616","Kahalu Upazila","কাহালু উপজেলা","12"
"617","Sahpura Upazila","সাহাপুর উপজেলা","12"
"618","Dhunot Upazila","ধুনট উপজেলা","12"
"619","Adamdighi Upazila","আদমদিঘি উপজেলা","12"
"620","Nandigram Upazila","নন্দীগ্রাম উপজেলা","12"
"621","Mohammadpur Upazila","মোহাম্মদপুর উপজেলা","12"
"622","Dupchanchia Upazila","দুপচাঞ্চিয়া উপজেলা","12"
"623","Sarail Upazila","সাড়াইল উপজেলা","13"
"624","Chaumuhuni Upazila","চৌমুহনী উপজেলা","13"
"625","Tatihati Upazila","তাতিয়াটি উপজেলা","13"
"626","Monoharpur Upazila","মনোহরপুর উপজেলা","13"
"627","Homna Upazila","হোমনা উপজেলা","13"
"628","Laksam Upazila","লাকসাম উপজেলা","13"
"629","Debpur Upazila","দেবপুর উপজেলা","13"
"630","Daganbhuiyan Upazila","দাগনভূঞা উপজেলা","13"
